iter	Passed	Remaining
0	167	33400
1	181	18000
2	195	12824
3	208	10216
4	217	8481
5	229	7425
6	245	6770
7	254	6108
8	267	5671
9	286	5445
10	298	5135
11	318	4986
12	336	4840
13	355	4722
14	375	4631
15	393	4527
16	404	4349
17	413	4185
18	426	4061
19	442	3982
20	456	3890
21	477	3862
22	490	3773
23	505	3710
24	525	3675
25	538	3604
26	547	3511
27	568	3490
28	585	3452
29	598	3389
30	607	3310
31	617	3242
32	626	3169
33	639	3122
34	654	3086
35	671	3057
36	683	3012
37	692	2950
38	705	2911
39	714	2857
40	722	2803
41	745	2804
42	754	2753
43	762	2704
44	771	2658
45	784	2627
46	794	2584
47	806	2552
48	817	2518
49	828	2484
50	837	2446
51	847	2412
52	857	2377
53	866	2344
54	877	2312
55	886	2280
56	901	2261
57	911	2231
58	924	2210
59	934	2180
60	943	2151
61	954	2123
62	963	2095
63	972	2067
64	982	2041
65	993	2016
66	1002	1991
67	1013	1967
68	1029	1953
69	1039	1931
70	1051	1910
71	1064	1892
72	1078	1875
73	1090	1857
74	1101	1835
75	1112	1815
76	1123	1794
77	1134	1773
78	1144	1753
79	1155	1732
80	1165	1711
81	1176	1693
82	1188	1674
83	1197	1654
84	1207	1633
85	1217	1614
86	1226	1593
87	1236	1574
88	1247	1556
89	1258	1537
90	1268	1519
91	1277	1499
92	1287	1481
93	1297	1462
94	1308	1446
95	1318	1428
96	1329	1411
97	1338	1392
98	1346	1373
99	1355	1355
100	1364	1337
101	1373	1319
102	1381	1301
103	1391	1284
104	1401	1267
105	1409	1250
106	1419	1233
107	1428	1216
108	1438	1200
109	1448	1184
110	1457	1168
111	1466	1152
112	1475	1135
113	1485	1120
114	1494	1104
115	1504	1089
116	1513	1073
117	1524	1059
118	1533	1043
119	1542	1028
120	1551	1012
121	1560	997
122	1569	982
123	1578	967
124	1589	953
125	1599	939
126	1607	924
127	1617	909
128	1627	895
129	1636	881
130	1645	866
131	1654	852
132	1665	839
133	1676	825
134	1686	811
135	1698	799
136	1708	785
137	1717	771
138	1726	757
139	1737	744
140	1746	730
141	1757	718
142	1767	704
143	1777	691
144	1788	678
145	1798	665
146	1806	651
147	1817	638
148	1827	625
149	1837	612
150	1846	599
151	1855	585
152	1864	572
153	1873	559
154	1883	546
155	1893	533
156	1902	521
157	1911	508
158	1922	495
159	1931	482
160	1940	470
161	1950	457
162	1959	444
163	1968	432
164	1979	419
165	1990	407
166	1999	395
167	2008	382
168	2017	370
169	2028	357
170	2038	345
171	2047	333
172	2056	320
173	2065	308
174	2075	296
175	2084	284
176	2094	272
177	2105	260
178	2115	248
179	2125	236
180	2134	224
181	2143	212
182	2153	200
183	2162	188
184	2172	176
185	2181	164
186	2191	152
187	2202	140
188	2211	128
189	2220	116
190	2230	105
191	2239	93
192	2248	81
193	2257	69
194	2266	58
195	2275	46
196	2284	34
197	2294	23
198	2303	11
199	2313	0
